"serie","fecha","valor","mes","año"
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",866,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",822,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",930,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",914,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",907,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",886,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",855,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",889,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",853,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",923,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",945,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2013-NA-1",970,NA,2013
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",881,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",848,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",953,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",929,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",925,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",899,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",861,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",896,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",874,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",940,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",953,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2014-NA-1",995,NA,2014
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",905,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",870,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",974,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",951,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",937,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",921,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",883,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",908,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",900,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",951,NA,2015
"Imacec empalmado, serie original (índice 2018=100)","2015-NA-1",974,NA,2015
